ticker,finviz_industry,finviz_sector,etf_name,kind,note
VTI,,,Vanguard Total Stock Market ETF,diversified,tracks total US stock market
DIA,,,SPDR Dow Jones Industrial Average ETF,diversified,tracks DJIA 30 stocks
IWM,,,iShares Russell 2000 ETF,diversified,tracks Russell 2000 small-cap index
CIBR,Software - Infrastructure,Technology,iShares Cybersecurity and Tech ETF,thematic,US and international cybersecurity companies
HACK,Software - Infrastructure,Technology,ETFMG Prime Cyber Security ETF,thematic,global cybersecurity pure-play
BUG,Software - Infrastructure,Technology,Global X Cybersecurity ETF,thematic,cybersecurity companies
WCLD,Software - Application,Technology,WisdomTree Cloud Computing ETF,thematic,cloud computing SaaS companies
CLOU,Software - Application,Technology,Global X Cloud Computing ETF,thematic,cloud computing infrastructure and apps
ARKG,Biotechnology,Healthcare,ARK Genomic Revolution ETF,thematic,genomics and biotech innovation
ITB,Residential Construction,Industrials,iShares U.S. Home Construction ETF,thematic,US homebuilders
XHB,Residential Construction,Industrials,SPDR S&P Homebuilders ETF,thematic,US homebuilders and suppliers
AMLP,Oil & Gas Midstream,Energy,Alerian MLP ETF,thematic,US oil and gas pipelines (MLPs)
SIL,Silver,Basic Materials,Global X Silver Miners ETF,thematic,senior silver miners globally
SILJ,Silver,Basic Materials,ETFMG Prime Junior Silver Miners ETF,thematic,junior silver miners globally
REMX,Other Precious Metals & Mining,Basic Materials,VanEck Rare Earth/Strategic Metals ETF,thematic,rare earth and strategic metals miners
XME,Other Industrial Metals & Mining,Basic Materials,SPDR S&P Metals & Mining ETF,thematic,US metals and mining companies
PAVE,Engineering & Construction,Industrials,Global X U.S. Infrastructure Development ETF,thematic,US infrastructure development companies
ICLN,Utilities - Renewable,Utilities,iShares Global Clean Energy ETF,thematic,global renewable energy producers
KIE,Insurance - Diversified,Financial,SPDR S&P Insurance ETF,thematic,US insurance companies
IAI,Capital Markets,Financial,iShares U.S. Broker-Dealers & Securities Exchanges ETF,thematic,US broker-dealers and exchanges
URNM,Uranium,Energy,Sprott Uranium Miners ETF,thematic,pure-play uranium miners
VGT,,Technology,Vanguard Information Technology ETF,sector,all Vanguard tracked tech stocks
VHT,,Healthcare,Vanguard Health Care ETF,sector,all Vanguard tracked healthcare stocks
VFH,,Financial,Vanguard Financials ETF,sector,all Vanguard tracked financial stocks
VIS,,Industrials,Vanguard Industrials ETF,sector,all Vanguard tracked industrial stocks
VCR,,Consumer Cyclical,Vanguard Consumer Discretionary ETF,sector,all Vanguard tracked consumer discretionary stocks
VDC,,Consumer Defensive,Vanguard Consumer Staples ETF,sector,all Vanguard tracked consumer staples stocks
VPU,,Utilities,Vanguard Utilities ETF,sector,all Vanguard tracked utilities stocks
VAW,,Basic Materials,Vanguard Materials ETF,sector,all Vanguard tracked materials stocks
VOX,,Communication Services,Vanguard Communication Services ETF,sector,all Vanguard tracked comm services stocks
VDE,,Energy,Vanguard Energy ETF,sector,all Vanguard tracked energy stocks
VNQ,,Real Estate,Vanguard Real Estate ETF,sector,all Vanguard tracked real estate REITs
GLD,,,SPDR Gold Shares,diversified,physical gold commodity — not a rotation group
IAU,,,iShares Gold Trust,diversified,physical gold commodity — not a rotation group
SLV,,,iShares Silver Trust,diversified,physical silver commodity — not a rotation group
IBIT,,,iShares Bitcoin Trust,diversified,spot bitcoin ETF — not a rotation group
BITO,,,ProShares Bitcoin Strategy ETF,diversified,bitcoin futures ETF — not a rotation group
EEM,,,iShares MSCI Emerging Markets ETF,diversified,tracks broad emerging market equities
EFA,,,iShares MSCI EAFE ETF,diversified,tracks international developed market equities
IEFA,,,iShares Core MSCI EAFE ETF,diversified,tracks international developed equities (lower cost)
ARKK,,,ARK Innovation ETF,diversified,cross-sector disruptive innovation fund
HYG,,,iShares iBoxx $ High Yield Corporate Bond ETF,diversified,high yield corporate bond fund
TLT,,,iShares 20+ Year Treasury Bond ETF,diversified,long-duration US Treasury bond fund
AGG,,,iShares Core U.S. Aggregate Bond ETF,diversified,total US investment-grade bond market
